study_id	strain	cell_line	trt	mouse_id	adjusted_slope	iso_mean_slope	RTC
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-24	0.0971629	0.0897468	1.43132
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-25	0.104275	0.0897468	2.01877
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-27	0.0985023	0.0897468	1.52709
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-29	0.109975	0.0897468	2.65951
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-30	0.0960628	0.0897468	1.35717
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-32	0.0912118	0.0897468	1.07341
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-33	0.10319	0.0897468	1.91558
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-34	0.0815196	0.0897468	0.67178
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-38	0.115959	0.0897468	3.55182
56TB7CB6AT	BALB/cJ F1	AT3	anti-PD1	007-39	0.0978625	0.0897468	1.48057
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-21	0.0818298	0.0897468	0.681934
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-22	0.0928576	0.0897468	1.16232
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-23	0.0829865	0.0897468	0.721164
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-26	0.0892429	0.0897468	0.975928
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-28	0.0954285	0.0897468	1.31618
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-31	0.078844	0.0897468	0.590257
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-35	0.104394	0.0897468	2.03041
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-36	0.087222	0.0897468	0.885074
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-37	0.0884723	0.0897468	0.940233
56TB7CB6AT	BALB/cJ F1	AT3	isotype	007-40	0.096191	0.0897468	1.36561
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-02	0.0774491	0.0868461	0.634838
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-03	0.0628178	0.0790511	0.456145
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-04	0.0855389	0.0868461	0.938748
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-08	0.0619694	0.0790511	0.437809
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-08	0.111913	0.0868461	3.36049
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-09	0.0663138	0.0790511	0.540155
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-09	0.101655	0.0868461	2.04637
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-11	0.0711466	0.0868461	0.468069
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-12	0.039286	0.0790511	0.146195
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-12	0.0788785	0.0868461	0.680268
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-13	0.0662152	0.0790511	0.537586
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-14	0.0936982	0.0868461	1.39282
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-15	0.0555659	0.0790511	0.321227
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-15	0.0889546	0.0868461	1.10733
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-16	0.0639592	0.0790511	0.482027
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-17	0.0712805	0.0790511	0.686783
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-17	0.0905296	0.0868461	1.19496
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-18	0.0532631	0.0790511	0.287377
62TB02B6AT	C57BL/6J	AT3	anti-PD1	664-19	0.0666366	0.0868461	0.376357
53TB25B6AT	C57BL/6J	AT3	anti-PD1	664-22	0.0989655	0.0790511	2.61941
62TB02B6AT	C57BL/6J	AT3	isotype	664-01	0.0915049	0.0868461	1.25267
53TB25B6AT	C57BL/6J	AT3	isotype	664-02	0.0583839	0.0790511	0.368121
62TB02B6AT	C57BL/6J	AT3	isotype	664-03	0.0839969	0.0868461	0.871296
53TB25B6AT	C57BL/6J	AT3	isotype	664-04	0.085768	0.0790511	1.38375
53TB25B6AT	C57BL/6J	AT3	isotype	664-05	0.0724561	0.0790511	0.726954
62TB02B6AT	C57BL/6J	AT3	isotype	664-05	0.0880416	0.0868461	1.05951
53TB25B6AT	C57BL/6J	AT3	isotype	664-06	0.080447	0.0790511	1.06983
62TB02B6AT	C57BL/6J	AT3	isotype	664-06	0.0565397	0.0868461	0.230976
53TB25B6AT	C57BL/6J	AT3	isotype	664-07	0.077141	0.0790511	0.911775
62TB02B6AT	C57BL/6J	AT3	isotype	664-07	0.0710459	0.0868461	0.465796
62TB02B6AT	C57BL/6J	AT3	isotype	664-10	0.0988672	0.0868461	1.78831
62TB02B6AT	C57BL/6J	AT3	isotype	664-13	0.0782622	0.0868461	0.660296
53TB25B6AT	C57BL/6J	AT3	isotype	664-14	0.0675651	0.0790511	0.573846
62TB02B6AT	C57BL/6J	AT3	isotype	664-16	0.100865	0.0868461	1.96966
62TB02B6AT	C57BL/6J	AT3	isotype	664-18	0.104404	0.0868461	2.33731
53TB25B6AT	C57BL/6J	AT3	isotype	664-19	0.080338	0.0790511	1.06421
62TB02B6AT	C57BL/6J	AT3	isotype	664-20	0.0949339	0.0868461	1.47857
53TB25B6AT	C57BL/6J	AT3	isotype	664-21	0.105806	0.0790511	3.64639
53TB25B6AT	C57BL/6J	AT3	isotype	664-23	0.086545	0.0790511	1.43672
53TB25B6AT	C57BL/6J	AT3	isotype	664-24	0.0760599	0.0790511	0.865337
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-23	0.0941902	0.0787447	2.11035
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-26	0.0833382	0.0787447	1.24871
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-31	0.0705181	0.0787447	0.671802
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-32	0.132849	0.0787447	13.6834
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-34	0.0844412	0.0787447	1.31712
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-35	0.0845589	0.0787447	1.32464
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-36	0.0845449	0.0787447	1.32374
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-38	0.0871433	0.0787447	1.50096
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-39	0.0747517	0.0787447	0.824415
62TB02B6AT	CC02 F1	AT3	anti-PD1	927-40	0.0757655	0.0787447	0.865837
62TB02B6AT	CC02 F1	AT3	isotype	927-21	0.070632	0.0787447	0.675511
62TB02B6AT	CC02 F1	AT3	isotype	927-22	0.077452	0.0787447	0.939405
62TB02B6AT	CC02 F1	AT3	isotype	927-24	0.0808431	0.0787447	1.10679
62TB02B6AT	CC02 F1	AT3	isotype	927-25	0.0840863	0.0787447	1.29471
62TB02B6AT	CC02 F1	AT3	isotype	927-27	0.064572	0.0787447	0.503934
62TB02B6AT	CC02 F1	AT3	isotype	927-28	0.0633788	0.0787447	0.475681
62TB02B6AT	CC02 F1	AT3	isotype	927-29	0.0896835	0.0787447	1.69712
62TB02B6AT	CC02 F1	AT3	isotype	927-30	0.0789138	0.0787447	1.00821
62TB02B6AT	CC02 F1	AT3	isotype	927-33	0.102786	0.0787447	3.19787
62TB02B6AT	CC02 F1	AT3	isotype	927-37	0.0751001	0.0787447	0.838422
68TB1654AT	CC04 F1	AT3	anti-PD1	581-41	0.0421038	0.0634754	0.355793
68TB1654AT	CC04 F1	AT3	anti-PD1	581-42	0.0494947	0.0634754	0.508634
68TB1654AT	CC04 F1	AT3	anti-PD1	581-45	0.0739932	0.0634754	1.66293
68TB1654AT	CC04 F1	AT3	anti-PD1	581-47	0.0440175	0.0634754	0.390289
