study_id	cell_line	mouse_id	strain	trt	study_day	tumor_vol_mm3
07TCB6F1CT	CT26	007-21	C57BL/6J F1	isotype	6	30.59
07TCB6F1CT	CT26	007-21	C57BL/6J F1	isotype	8	44.26
07TCB6F1CT	CT26	007-21	C57BL/6J F1	isotype	11	73.04
07TCB6F1CT	CT26	007-21	C57BL/6J F1	isotype	13	137.85
07TCB6F1CT	CT26	007-21	C57BL/6J F1	isotype	15	236.59
07TCB6F1CT	CT26	007-21	C57BL/6J F1	isotype	18	539.08
07TCB6F1CT	CT26	007-21	C57BL/6J F1	isotype	20	802.11
07TCB6F1CT	CT26	007-21	C57BL/6J F1	isotype	22	1310.34
07TCB6F1CT	CT26	007-22	C57BL/6J F1	anti-PD1	6	72.09
07TCB6F1CT	CT26	007-22	C57BL/6J F1	anti-PD1	8	122.93
07TCB6F1CT	CT26	007-22	C57BL/6J F1	anti-PD1	11	369.41
07TCB6F1CT	CT26	007-22	C57BL/6J F1	anti-PD1	13	565.02
07TCB6F1CT	CT26	007-22	C57BL/6J F1	anti-PD1	15	832.96
07TCB6F1CT	CT26	007-22	C57BL/6J F1	anti-PD1	18	1284.12
07TCB6F1CT	CT26	007-22	C57BL/6J F1	anti-PD1	20	1847.43
07TCB6F1CT	CT26	007-22	C57BL/6J F1	anti-PD1	22	2745.49
07TCB6F1CT	CT26	007-23	C57BL/6J F1	isotype	6	38.36
07TCB6F1CT	CT26	007-23	C57BL/6J F1	isotype	8	66.04
07TCB6F1CT	CT26	007-23	C57BL/6J F1	isotype	11	203.57
07TCB6F1CT	CT26	007-23	C57BL/6J F1	isotype	13	386.84
07TCB6F1CT	CT26	007-23	C57BL/6J F1	isotype	15	696.77
07TCB6F1CT	CT26	007-23	C57BL/6J F1	isotype	18	1213.29
07TCB6F1CT	CT26	007-23	C57BL/6J F1	isotype	20	1591.63
07TCB6F1CT	CT26	007-23	C57BL/6J F1	isotype	22	2184.44
07TCB6F1CT	CT26	007-24	C57BL/6J F1	anti-PD1	8	0
07TCB6F1CT	CT26	007-24	C57BL/6J F1	anti-PD1	11	0
07TCB6F1CT	CT26	007-24	C57BL/6J F1	anti-PD1	13	0
07TCB6F1CT	CT26	007-24	C57BL/6J F1	anti-PD1	15	0
07TCB6F1CT	CT26	007-24	C57BL/6J F1	anti-PD1	18	0
07TCB6F1CT	CT26	007-24	C57BL/6J F1	anti-PD1	20	0
07TCB6F1CT	CT26	007-24	C57BL/6J F1	anti-PD1	22	0
07TCB6F1CT	CT26	007-25	C57BL/6J F1	anti-PD1	6	38.74
07TCB6F1CT	CT26	007-25	C57BL/6J F1	anti-PD1	8	41.22
07TCB6F1CT	CT26	007-25	C57BL/6J F1	anti-PD1	11	52.01
07TCB6F1CT	CT26	007-25	C57BL/6J F1	anti-PD1	13	71.39
07TCB6F1CT	CT26	007-25	C57BL/6J F1	anti-PD1	15	98.47
07TCB6F1CT	CT26	007-25	C57BL/6J F1	anti-PD1	18	149.23
07TCB6F1CT	CT26	007-25	C57BL/6J F1	anti-PD1	20	174.47
07TCB6F1CT	CT26	007-25	C57BL/6J F1	anti-PD1	22	220.31
07TCB6F1CT	CT26	007-26	C57BL/6J F1	anti-PD1	8	13.18
07TCB6F1CT	CT26	007-26	C57BL/6J F1	anti-PD1	11	12.87
07TCB6F1CT	CT26	007-26	C57BL/6J F1	anti-PD1	13	21.46
07TCB6F1CT	CT26	007-26	C57BL/6J F1	anti-PD1	15	38.81
07TCB6F1CT	CT26	007-26	C57BL/6J F1	anti-PD1	18	94.17
07TCB6F1CT	CT26	007-26	C57BL/6J F1	anti-PD1	20	106.33
07TCB6F1CT	CT26	007-26	C57BL/6J F1	anti-PD1	22	202.76
07TCB6F1CT	CT26	007-27	C57BL/6J F1	isotype	6	13.4
07TCB6F1CT	CT26	007-27	C57BL/6J F1	isotype	8	37.09
07TCB6F1CT	CT26	007-27	C57BL/6J F1	isotype	11	83.85
07TCB6F1CT	CT26	007-27	C57BL/6J F1	isotype	13	133.74
07TCB6F1CT	CT26	007-27	C57BL/6J F1	isotype	15	227.33
07TCB6F1CT	CT26	007-27	C57BL/6J F1	isotype	18	309.09
07TCB6F1CT	CT26	007-28	C57BL/6J F1	isotype	6	38.61
07TCB6F1CT	CT26	007-28	C57BL/6J F1	isotype	8	45.67
07TCB6F1CT	CT26	007-28	C57BL/6J F1	isotype	11	121.63
07TCB6F1CT	CT26	007-28	C57BL/6J F1	isotype	13	171.1
07TCB6F1CT	CT26	007-28	C57BL/6J F1	isotype	15	306.03
07TCB6F1CT	CT26	007-28	C57BL/6J F1	isotype	18	531.79
07TCB6F1CT	CT26	007-28	C57BL/6J F1	isotype	20	838.07
07TCB6F1CT	CT26	007-28	C57BL/6J F1	isotype	22	1288.92
07TCB6F1CT	CT26	007-29	C57BL/6J F1	isotype	6	34.79
07TCB6F1CT	CT26	007-29	C57BL/6J F1	isotype	8	60.47
07TCB6F1CT	CT26	007-29	C57BL/6J F1	isotype	11	94.4
07TCB6F1CT	CT26	007-29	C57BL/6J F1	isotype	13	214.2
07TCB6F1CT	CT26	007-29	C57BL/6J F1	isotype	15	488.11
07TCB6F1CT	CT26	007-29	C57BL/6J F1	isotype	18	1322.19
07TCB6F1CT	CT26	007-29	C57BL/6J F1	isotype	20	2257.23
07TCB6F1CT	CT26	007-30	C57BL/6J F1	isotype	6	22.68
07TCB6F1CT	CT26	007-30	C57BL/6J F1	isotype	8	28.41
